Uuid,Exchange,TimeStamp,OrderType,Limit,Quantity,QuantityRemaining,Commission,Price,PricePerUnit,IsConditional,Condition,ConditionTarget,ImmediateOrCancel,Closed
e3b7c6da-190a-4391-a1cb-247bb78ffc82,BTC-ETH,12/2/2017 1:07:48 AM,LIMIT_BUY,0.04210007,0.20000000,0.00000000,0.00002105,0.00842001,0.04210005,False,,0.00000000,False,12/2/2017 1:07:53 AM
0ef61592-8cdf-4386-a024-11968f0d5fcd,ETH-LTC,12/2/2017 1:41:39 AM,LIMIT_SELL,0.21560000,0.71000000,0.00000000,0.00038269,0.15307600,0.21560000,False,,0.00000000,False,12/2/2017 3:20:46 AM
bf407403-4f1e-4241-bbfd-aee2f642c8b2,BTC-XMR,12/2/2017 11:28:33 AM,LIMIT_BUY,0.01715401,0.20000000,0.00000000,0.00000857,0.00343080,0.01715400,False,,0.00000000,False,12/2/2017 11:28:33 AM
c6c2492d-028f-4fc5-8fc1-fa0d95b86ccf,USDT-XMR,12/2/2017 1:54:32 PM,LIMIT_SELL,200.00000000,0.10000000,0.00000000,0.05000000,20.00000000,200.00000000,False,,0.00000000,False,12/2/2017 11:12:04 PM
74c68f09-8d6e-47be-879e-9ee5d32a066a,USDT-ETH,12/2/2017 11:38:51 PM,LIMIT_BUY,456.31000000,0.03279021,0.00000000,0.03740625,14.96250072,456.30999984,False,,0.00000000,False,12/2/2017 11:56:44 PM
bc1d44e1-fad5-471e-9ff1-b721a4951f5c,ETH-LTC,12/3/2017 12:19:37 AM,LIMIT_SELL,0.21730000,0.50000000,0.00000000,0.00027162,0.10865000,0.21730000,False,,0.00000000,False,12/3/2017 12:44:34 AM
5063cd6c-7d10-4a20-8554-fa14df0cd5c0,ETH-XMR,12/3/2017 5:21:23 PM,LIMIT_BUY,0.42529817,1.17270667,0.11933666,0.00111999,0.44799633,0.42529816,False,,0.00000000,False,12/3/2017 5:33:28 PM
1a35cf6a-f458-44d6-aa40-fd0a4a7101c9,ETH-XMR,12/3/2017 11:03:02 PM,LIMIT_BUY,0.42649736,0.93552748,0.00000000,0.00099750,0.39900000,0.42649736,False,,0.00000000,False,12/3/2017 11:03:46 PM
a6c6684c-3d56-45b4-873d-6981d4e023fd,ETH-DASH,12/3/2017 11:08:49 PM,LIMIT_BUY,1.66100000,0.24015644,0.00000000,0.00099724,0.39889984,1.66099997,False,,0.00000000,False,12/3/2017 11:10:23 PM
c612f6ca-6c10-4d3f-b14e-bdffa3d56950,ETH-XLM,12/3/2017 11:21:56 PM,LIMIT_BUY,0.00020030,504.14434449,0.00000000,0.00025244,0.10098010,0.00020030,False,,0.00000000,False,12/3/2017 11:22:32 PM
55f6e098-69ad-41dd-a8f1-d80c737c5855,USDT-OMG,12/3/2017 11:29:15 PM,LIMIT_BUY,9.37499981,0.42560001,0.00000000,0.00997500,3.99000001,9.37499980,False,,0.00000000,False,12/3/2017 11:29:22 PM
2838ec9d-6ad2-41f5-9ed6-131ff888366c,ETH-OMG,12/3/2017 11:31:38 PM,LIMIT_SELL,0.02100000,0.31000000,0.00000000,0.00001627,0.00651000,0.02100000,False,,0.00000000,False,12/4/2017 2:20:36 PM
e1a04740-e9d3-45c9-a725-53ead95816f7,ETH-SALT,12/4/2017 8:08:29 PM,LIMIT_BUY,0.01400000,7.12500000,0.00000000,0.00024930,0.09972007,0.01399580,,,,,12/4/2017 8:08:29 PM
4fcb30d9-84be-4c28-b04e-02e5be34d4c6,ETH-LTC,12/3/2017 11:18:39 PM,LIMIT_SELL,0.22000000,0.38000000,0.00000000,0.00020900,0.08360000,0.22000000,False,,0.00000000,False,12/4/2017 8:49:59 PM
eed15475-6455-40df-8299-3f76bdd48b68,ETH-SC,12/4/2017 9:09:33 PM,LIMIT_BUY,0.00002263,4407.86566505,0.00000000,0.00024882,0.09953466,0.00002258,False,,0.00000000,False,12/4/2017 9:09:33 PM
4af31241-a90e-42dd-880d-1e59beaf7288,ETH-TIX,12/4/2017 9:21:03 PM,LIMIT_BUY,0.00177085,56.32888161,42.26095034,0.00006228,0.02491219,0.00044226,,,,,12/4/2017 9:38:18 PM
311d563c-83f1-48f9-ab94-03059089a666,ETH-TIX,12/4/2017 9:39:15 PM,LIMIT_BUY,0.00178856,44.61689851,0.00000000,0.00019949,0.07979999,0.00178856,,,,,12/4/2017 9:41:34 PM
1edd04c2-3b7a-42dd-908e-a5bb7639f912,ETH-STORJ,12/4/2017 10:46:19 PM,LIMIT_BUY,0.00244900,20.36545529,0.00000000,0.00012468,0.04987500,0.00244900,,,,,12/4/2017 10:46:19 PM
84d81008-227f-457d-8a73-06011c495473,ETH-XMR,12/4/2017 8:49:09 PM,LIMIT_SELL,0.44690201,1.90000000,0.00000000,0.00212278,0.84911381,0.44690201,False,,0.00000000,False,12/4/2017 11:59:59 PM
5626b218-f987-48c8-b4f7-9b3312b37beb,ETH-NEO,12/5/2017 12:23:55 AM,LIMIT_BUY,0.08927938,5.58637630,0.00000000,0.00124686,0.49874698,0.08927916,False,,0.00000000,False,12/5/2017 12:23:55 AM
c8ee968b-9561-4c11-90a7-db92f61f2257,ETH-STRAT,12/5/2017 1:16:57 PM,LIMIT_BUY,0.01647973,15.13222607,0.00000000,0.00062340,0.24936553,0.01647910,False,,0.00000000,False,12/5/2017 1:16:57 PM
52214747-1a2f-4947-b1aa-e6b60e52e4c7,ETH-XLM,12/4/2017 8:26:28 PM,LIMIT_SELL,0.00025308,400.00000000,0.00000000,0.00025308,0.10123200,0.00025308,False,,0.00000000,False,12/5/2017 5:02:08 PM
94bd9f87-e6c8-407b-ae80-56c13027dbed,ETH-SALT,12/6/2017 2:34:10 AM,LIMIT_BUY,0.01321014,15.10203525,0.00000000,0.00049874,0.19949999,0.01321014,,,,,12/6/2017 2:34:31 AM
6f0807dc-8525-44c6-ad36-c55e752dc1ed,ETH-SALT,12/6/2017 3:30:54 PM,LIMIT_SELL,0.01467792,20.00433173,0.00000000,0.00073404,0.29362197,0.01467792,,,,,12/6/2017 3:57:49 PM
0201157a-3c37-4c10-b9b0-6c15467bd44a,ETH-MCO,12/6/2017 4:26:35 PM,LIMIT_BUY,0.02723297,0.91570989,0.00000000,0.00006234,0.02493749,0.02723296,False,,0.00000000,False,12/6/2017 4:28:48 PM
a5271a28-e4f3-4354-848e-565999bb044b,ETH-MCO,12/6/2017 4:29:23 PM,LIMIT_BUY,0.02723297,9.15709891,0.00000000,0.00062343,0.24937499,0.02723297,False,,0.00000000,False,12/6/2017 4:29:35 PM
14b6efec-6d65-4d66-b004-834866daa8e3,ETH-STRAT,12/6/2017 3:43:02 PM,LIMIT_SELL,0.01831011,13.61900346,0.00000000,0.00062340,0.24936544,0.01831011,False,,0.00000000,False,12/6/2017 6:43:51 PM
906afcbc-fe56-4206-b48c-5186d250456a,ETH-OMG,12/6/2017 9:03:21 PM,LIMIT_BUY,0.02111792,14.17042966,0.00000000,0.00074810,0.29924998,0.02111792,False,,0.00000000,False,12/6/2017 9:37:12 PM
0471439f-a910-4ef1-8d8c-18c577dcbac3,ETH-SALT,12/7/2017 1:19:09 AM,LIMIT_SELL,0.01723051,2.22270352,0.00000000,0.00009574,0.03829978,0.01723117,,,,,12/7/2017 1:19:09 AM
0a7a4f74-8998-4288-b4a6-2da63e62586c,ETH-XLM,12/7/2017 1:19:14 AM,LIMIT_SELL,0.00035638,104.14434449,0.00000000,0.00009372,0.03749196,0.00036000,False,,0.00000000,False,12/7/2017 1:19:15 AM
3059ae94-c6b9-42dd-bca7-c39f8c8b30d4,ETH-TIX,12/6/2017 3:39:09 PM,LIMIT_SELL,0.00198728,52.81634680,0.00000000,0.00026240,0.10496086,0.00198728,,,,,12/7/2017 1:24:13 AM
aa17182e-a09c-403c-8a18-6de0658ec6c1,ETH-NEO,12/7/2017 1:31:19 AM,LIMIT_BUY,0.08260000,1.21164462,0.00000000,0.00025019,0.10008184,0.08260000,False,,0.00000000,False,12/7/2017 1:33:15 AM
594aaed0-765f-4edb-9932-7ab805353e25,ETH-DASH,12/7/2017 1:36:19 AM,LIMIT_BUY,1.61800000,0.06157407,0.00000000,0.00024906,0.09962684,1.61799991,False,,0.00000000,False,12/7/2017 1:36:59 AM
365cd5f0-8555-408b-9dce-942038846600,ETH-MCO,12/6/2017 4:31:11 PM,LIMIT_SELL,0.03025884,9.00000000,4.18486387,0.00036425,0.14570043,0.03025884,False,,0.00000000,False,12/7/2017 12:16:53 PM
a8ccb351-3a44-407c-ae0c-2e72b8059a4e,BTC-ETH,12/7/2017 12:22:26 PM,LIMIT_SELL,0.02848000,0.03836695,0.00000000,0.00000273,0.00109269,0.02847998,False,,0.00000000,False,12/7/2017 12:22:36 PM
a1e6ea57-667a-416d-bdcf-0b51f792f8a4,BTC-STRAT,12/7/2017 12:26:49 PM,LIMIT_SELL,0.00065694,1.36190035,0.00000000,0.00000223,0.00089468,0.00065693,False,,0.00000000,False,12/7/2017 12:26:51 PM
603351d8-9e37-4bd6-9ce2-86d7bc27ac80,BTC-XMR,12/7/2017 12:31:45 PM,LIMIT_BUY,0.01734016,0.17257626,0.00000000,0.00000748,0.00299249,0.01734010,False,,0.00000000,False,12/7/2017 12:31:45 PM
30f5d675-bc2b-4c42-b515-cfe3262fa372,BTC-MCO,12/7/2017 12:43:49 PM,LIMIT_SELL,0.00077000,4.99478904,0.00000000,0.00000961,0.00384598,0.00077000,False,,0.00000000,False,12/7/2017 12:46:37 PM
0b0eefeb-8aef-477f-8575-13f35318f898,BTC-OMG,12/7/2017 12:52:49 PM,LIMIT_SELL,0.00058988,13.57172819,0.00000000,0.00002001,0.00800569,0.00058988,False,,0.00000000,False,12/7/2017 12:52:49 PM
58d1cd0d-7d31-49cc-8418-c8161d4f2003,BTC-STORJ,12/7/2017 12:35:07 PM,LIMIT_SELL,0.00006843,19.34718253,0.00000000,0.00000330,0.00132392,0.00006843,False,,0.00000000,False,12/7/2017 12:53:00 PM
b4ebc2a6-b1be-4b5a-84ce-e4a1dc5a15d8,BTC-NEO,12/7/2017 12:53:41 PM,LIMIT_SELL,0.00236474,6.45811987,0.00000000,0.00003817,0.01527177,0.00236474,False,,0.00000000,False,12/7/2017 12:53:42 PM
23b38292-6d38-4477-9eb1-18857898ef5c,BTC-XMR,12/7/2017 12:55:50 PM,LIMIT_BUY,0.01753670,0.56880713,0.00000000,0.00002493,0.00997499,0.01753668,False,,0.00000000,False,12/7/2017 12:56:49 PM
