Timestamp,Transaction Type,Asset,Quantity Transacted,USD Spot Price at Transaction,USD Subtotal,USD Total (inclusive of fees),USD Fees,Notes
2017-08-26T15:52:11Z,Buy,BTC,0.05,4321.20,216.06,224.68,8.62,Bought 0.0500 BTC for $224.68 USD
2017-08-26T15:57:54Z,Buy,BTC,0.002326,4299.87,10.00,10.00,0.00,Bought 0.002326 BTC for $10.00 USD
2017-12-01T17:41:49Z,Sell,BTC,0.03834144,10432.58,400.00,394.04,5.96,Sold 0.03834144 BTC for $394.04 USD
2017-12-01T21:19:28Z,Send,BTC,0.01398456,10751.14,"","","",Sent 0.01398456 BTC to 17yaCjpzfe2ezjZWKFL1ajVX7UR27oomCu
2017-12-23T18:38:29Z,Buy,BTC,0.00313005,15657.90,49.01,51.00,1.99,Bought 0.00313005 BTC for $51.00 USD
2018-01-03T14:52:16Z,Buy,BTC,0.00644544,15050.95,97.01,100.00,2.99,Bought 0.00644544 BTC for $100.00 USD
2018-01-11T17:28:27Z,Send,BTC,0.00363162,13733.61,"","","",Sent 0.00363162 BTC to 17yaCjpzfe2ezjZWKFL1ajVX7UR27oomCu
2018-01-17T05:45:55Z,Buy,BTC,0.00873751,11102.71,97.01,100.00,2.99,Bought 0.00873751 BTC for $100.00 USD
2018-12-04T00:31:10Z,Send,BTC,0.00855663,3861.41,"","","",Sent 0.00855663 BTC to 17yaCjpzfe2ezjZWKFL1ajVX7UR27oomCu
2019-07-09T19:32:17Z,Send,BTC,0.00795013,12588.42,"","","",Sent 0.00795013 BTC to 17yaCjpzfe2ezjZWKFL1ajVX7UR27oomCu
2019-10-14T18:43:55Z,Send,BTC,0.01197604,8345.17,"","","",Sent 0.01197604 BTC to 17yaCjpzfe2ezjZWKFL1ajVX7UR27oomCu
2017-11-04T13:02:50Z,Buy,ETH,0.31499076,305.28,96.16,100.00,3.84,Bought 0.31499076 ETH for $100.00 USD
2017-12-01T17:42:09Z,Buy,ETH,0.85518176,454.01,388.26,394.04,5.78,Bought 0.85518176 ETH for $394.04 USD
##################################
#Found these combined into one bittrex
2017-12-01T22:48:07Z,Send,ETH,0.011073,464.00,"","","",Sent 0.011073 ETH to 0xd7b98a267002bef730006c51394d24b1c1c27346
2017-12-01T23:16:21Z,Send,ETH,1.15909952,461.16,"","","",Sent 1.15909952 ETH to 0xd7b98a267002bef730006c51394d24b1c1c27346
#0xd7b98a267002bef730006c51394d24b1c1c27346
#found in bittrex
2017-12-14T00:31:09Z,Send,ETH,0.08901259,709.70,"","","",Sent 0.08901259 ETH to 0xd7b98a267002bef730006c51394d24b1c1c27346
#
#found in bittrex
2017-12-26T13:50:10Z,Send,ETH,0.027141,748.99,"","","",Sent 0.027141 ETH to 0xd7b98a267002bef730006c51394d24b1c1c27346
2017-12-27T01:02:26Z,Send,ETH,0.237441,759.50,"","","",Sent 0.237441 ETH to 0xd7b98a267002bef730006c51394d24b1c1c27346
2017-12-27T14:26:37Z,Send,ETH,0.15109656,755.42,"","","",Sent 0.15109656 ETH to 0xd7b98a267002bef730006c51394d24b1c1c27346
#
2018-01-11T17:27:41Z,Send,ETH,0.04096174,1217.00,"","","",Sent 0.04096174 ETH to 0xd7b98a267002bef730006c51394d24b1c1c27346
##################################
2017-12-11T13:19:14Z,Buy,ETH,0.41567856,473.95,197.01,200.00,2.99,Bought 0.41567856 ETH for $200.00 USD
2018-02-19T18:29:26Z,Buy,ETH,0.05175667,946.93,49.01,51.00,1.99,Bought 0.05175667 ETH for $51.00 USD
2018-02-19T23:21:08Z,Send,ETH,0.0324798,935.76,"","","",Sent 0.0324798 ETH to 0xeA059a84c2aadb164414aC01BcB82c191B86F581
2018-02-20T02:02:17Z,Send,ETH,0.01927687,947.03,"","","",Sent 0.01927687 ETH to 0xeA059a84c2aadb164414aC01BcB82c191B86F581
2018-02-20T03:10:21Z,Buy,ETH,0.0516881,948.19,49.01,51.00,1.99,Bought 0.0516881 ETH for $51.00 USD
2018-02-20T03:11:10Z,Send,ETH,0.0426498,942.98,"","","",Sent 0.0426498 ETH to 0xA54765f047E5527fEA32BDb9D076fCA8012a7799
2017-11-04T13:03:02Z,Buy,LTC,1.71595395,56.04,96.16,100.00,3.84,Bought 1.71595395 LTC for $100.00 USD
2017-12-02T01:11:28Z,Send,LTC,1.71595395,100.57,"","","",Sent 1.71595395 LTC to LdKKWoyFfMnfV44M6LjVDVJgQmXE8FrokW
2017-12-14T00:32:23Z,Send,LTC,0.15947526,310.91,"","","",Sent 0.15947526 LTC to LdKKWoyFfMnfV44M6LjVDVJgQmXE8FrokW
2019-06-10T14:42:01Z,Coinbase Earn,BAT,3.0121979,0.330000,0.990000,0.990000,0.00,Received 3.0121979 BAT from Coinbase Earn
2019-06-10T14:43:41Z,Coinbase Earn,BAT,3.0119484,0.330000,0.990000,0.990000,0.00,Received 3.0119484 BAT from Coinbase Earn
2019-06-10T14:45:55Z,Coinbase Earn,BAT,3.01249281,0.330000,0.990000,0.990000,0.00,Received 3.01249281 BAT from Coinbase Earn
2019-06-12T16:36:55Z,Coinbase Earn,BAT,20.81248988,0.340000,7.08,7.08,0.00,Received 20.81248988 BAT from Coinbase Earn
2019-06-17T12:26:53Z,Coinbase Earn,DAI,2.00198798,1.00,2.00,2.00,0.00,Received 2.00198798 DAI from Coinbase Earn
2019-06-17T13:53:30Z,Coinbase Earn,DAI,2.002001,1.00,2.00,2.00,0.00,Received 2.002001 DAI from Coinbase Earn
2019-06-17T13:55:56Z,Coinbase Earn,DAI,2.002,1.00,2.00,2.00,0.00,Received 2.0020 DAI from Coinbase Earn
#2020
2020-03-12T13:01:51Z,Send,BTC,0.004,6062.87,"","","",Sent 0.0040 BTC to 17yaCjpzfe2ezjZWKFL1ajVX7UR27oomCu
2020-12-12T17:31:45Z,Receive,ETH,0.00903226,552.28,"","","",Received 0.00903226 ETH from an external account
2020-12-12T14:48:27Z,Coinbase Earn,MKR,0.003944,508.25,2.00,2.00,0.00,Received 0.003944 MKR from Coinbase Earn
2020-12-12T14:48:59Z,Coinbase Earn,MKR,0.00394235,508.25,2.00,2.00,0.00,Received 0.00394235 MKR from Coinbase Earn
2020-12-12T14:51:25Z,Coinbase Earn,MKR,0.00394513,508.25,2.01,2.01,0.00,Received 0.00394513 MKR from Coinbase Earn
2020-08-03T19:16:49Z,Rewards Income,DAI,0.00032585,1.01,0.00,0.00,0.00,Received 0.00032585 DAI from Coinbase Rewards
2020-08-04T19:13:30Z,Rewards Income,DAI,0.00032585,1.02,0.00,0.00,0.00,Received 0.00032585 DAI from Coinbase Rewards
2020-08-05T18:01:29Z,Rewards Income,DAI,0.00032585,1.02,0.00,0.00,0.00,Received 0.00032585 DAI from Coinbase Rewards
2020-08-06T18:11:18Z,Rewards Income,DAI,0.00032585,1.02,0.00,0.00,0.00,Received 0.00032585 DAI from Coinbase Rewards
