"txid","refid","time","type","subtype","aclass","asset","amount","fee","balance"
#we ignore "trade" transactions because those are handled in the trades CSV
#2022
"LRP4L3-4ZFP6-A5BY5Y","TURFJY-TWCL7-5QDITZ","2022-01-24 12:45:35","trade","","currency","XXBT",-0.0021983100,0.0000000000,0.0000028200
"LEGYQH-W2EMN-YLH2FF","TURFJY-TWCL7-5QDITZ","2022-01-24 12:45:35","trade","","currency","XXMR",0.5370000000,0.0013948300,11.8414048600
"L5RPLN-72GGN-RNPT6J","TYRVV3-CAZAZ-2KUKAD","2022-04-09 11:30:32","trade","","currency","XXMR",-1.2000000000,0.0000000000,10.6414048600
"LVQ7NN-4RKI2-7UXLNS","TYRVV3-CAZAZ-2KUKAD","2022-04-09 11:30:32","trade","","currency","ZUSD",289.5572,0.7528,289.0537
"LGBBGP-XT2S6-5TQINC","TRXKT2-LTR3M-IUYZGH","2022-04-18 18:29:53","trade","","currency","XXMR",-1.5000000000,0.0000000000,9.1414048600
"LMJCDD-ZUXWH-7ORYIW","TRXKT2-LTR3M-IUYZGH","2022-04-18 18:29:53","trade","","currency","XXBT",0.0094485000,0.0000245700,0.0094267500
"LCZVVF-BLJTR-RZNAMO","TSRQBT-4LKHQ-I4S4YH","2022-05-13 11:37:11","trade","","currency","ZUSD",-284.5060,0.7397,3.8080
"LBE4GH-SSSO6-PVD5OZ","TSRQBT-4LKHQ-I4S4YH","2022-05-13 11:37:11","trade","","currency","XXMR",1.9000000000,0.0000000000,11.0414048600
"LPORIL-M2G45-7XVICQ","T5HX7N-XYZYD-UUUXCM","2022-08-28 23:55:35","trade","","currency","XXMR",-1.5000000000,0.0000000000,9.5414048600
"LE3LHM-ROWPL-TKOLVH","T5HX7N-XYZYD-UUUXCM","2022-08-28 23:55:35","trade","","currency","XXBT",0.0112125000,0.0000291600,0.0206100900
#pre 2022
"","RABHJBH-4FMLLF-TKEM3S","2021-01-02 15:00:36","deposit","","currency","XXMR",5.9564246900,0.0000000000,""
"LHV7GW-YEUDD-4IOCBL","RABHJBH-4FMLLF-TKEM3S","2021-01-02 15:25:15","deposit","","currency","XXMR",5.9564246900,0.0000000000,5.9564246900
"","QGB5TP2-2V7RHB-BIPL5E","2021-01-02 23:32:11","deposit","","currency","XXBT",0.0040000000,0.0000000000,""
"LLRXSD-FX7NM-YSNIWH","QGB5TP2-2V7RHB-BIPL5E","2021-01-03 00:30:26","deposit","","currency","XXBT",0.0040000000,0.0000000000,0.0040000000
"LCW7K2-5SMEY-HSXFMM","TQZD6Y-W5P7T-7EI6TU","2021-01-03 02:54:03","trade","","currency","XXBT",-0.0032850000,0.0000085400,0.0007064600
"L6QCDL-7RDPL-KUKDAP","TQZD6Y-W5P7T-7EI6TU","2021-01-03 02:54:03","trade","","currency","XXMR",0.7500000000,0.0000000000,6.7064246900
"","QGBYPX3-WKAOI2-KIZAZ5","2021-01-03 13:36:15","deposit","","currency","XXBT",0.0120000000,0.0000000000,""
"LOPETG-Q3PKK-7BFGQB","QGBYPX3-WKAOI2-KIZAZ5","2021-01-03 13:57:45","deposit","","currency","XXBT",0.0120000000,0.0000000000,0.0127064600
"LOHRD5-CREVE-6RFHHK","TBJX3Z-E4JP7-YZ3HM6","2021-01-03 13:59:39","trade","","currency","XXBT",-0.0040950000,0.0000106500,0.0086008100
"LCC6P6-76OJI-TZMYWV","TBJX3Z-E4JP7-YZ3HM6","2021-01-03 13:59:39","trade","","currency","XXMR",1.0000000000,0.0000000000,7.7064246900
"LVIGLL-PT2LE-NPVUQY","T4LZMQ-KAUG3-WGFD5Y","2021-01-04 13:07:33","trade","","currency","XXBT",-0.0026436000,0.0000068700,0.0059503400
"L4KWMI-PY2KE-OVAZRW","T4LZMQ-KAUG3-WGFD5Y","2021-01-04 13:07:33","trade","","currency","XXMR",0.6000000000,0.0000000000,8.3064246900
"LX4BFB-PUES7-W7J6BY","TGMAPM-Y57S4-I6UKLM","2021-01-30 18:06:45","trade","","currency","XXBT",-0.0034518600,0.0000089700,0.0024895100
"LNTGAN-N4FBY-YJTMJG","TGMAPM-Y57S4-I6UKLM","2021-01-30 18:06:45","trade","","currency","XXMR",0.8493750000,0.0000000000,9.1557996900
"","QIBMCQT-TC4GYR-RCDFJX","2021-01-30 19:42:53","deposit","","currency","XXRP",888.77089100,0.00000000,""
"LM6CCE-73IJT-5DKH7E","QIBMCQT-TC4GYR-RCDFJX","2021-01-30 19:43:09","deposit","","currency","XXRP",888.77089100,0.00000000,888.77089100
"","AIB7PHP-5SOFEU-UFXLJQ","2021-02-10 15:23:07","withdrawal","","currency","XXRP",-888.75089000,0.02000000,""
"LQRE3M-KJVSR-DQQYP2","AIB7PHP-5SOFEU-UFXLJQ","2021-02-10 15:26:53","withdrawal","","currency","XXRP",-888.75089000,0.02000000,0.00000100
