portfolio,trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit
#2022
default,28000398,ETH-BTC,SELL,2022-07-18T10:45:49.019Z,0.09000000,ETH,0.067,0.00003618,0.00599382,BTC
default,63023317,XLM-USD,BUY,2022-01-22T13:12:41.236Z,157.00000000,XLM,0.189732,0.14893962,-29.93686362,USD
default,70930048,XLM-USD,BUY,2022-05-13T11:52:37.717Z,359.00000000,XLM,0.13815,0.2975751,-49.8934251,USD
default,71090060,XLM-USD,BUY,2022-05-16T12:09:30.936Z,1083.00000000,XLM,0.137627,0.894300246,-149.944341246,USD
default,78322730,XLM-USD,BUY,2022-11-10T11:30:31.995Z,561.00000000,XLM,0.088498,0.297884268,-49.945262268,USD
default,209770400,ETH-USD,BUY,2022-01-21T18:12:16.516Z,0.03547743,ETH,2804.67,0.4975124179905,-99.9999960160905,USD
default,210984163,ETH-USD,BUY,2022-01-22T22:52:10.212Z,0.04180284,ETH,2380.28,0.497512319976,-99.999976315176,USD
default,259735401,BTC-USD,BUY,2022-01-06T00:13:24.395Z,0.00685528,BTC,43544.12,1.492535674768,-299.999670628368,USD
default,267304835,BTC-USD,BUY,2022-01-21T18:13:48.159Z,0.00257940,BTC,38575.72,0.49751106084,-99.99972322884,USD
default,283127320,ETH-USD,BUY,2022-05-28T10:25:02.751Z,0.01256919,ETH,1760,0.1327306464,-22.2545050464,USD
default,283127321,ETH-USD,BUY,2022-05-28T10:25:02.751Z,0.10038885,ETH,1760.01,1.060112279331,-177.745492167831,USD
default,293379376,ETH-USD,BUY,2022-06-13T11:45:38.504Z,0.08417488,ETH,1198.84,0.6054732788352,-101.5176864180352,USD
default,293379377,ETH-USD,BUY,2022-06-13T11:45:38.504Z,0.04019881,ETH,1198.87,0.2891588840682,-48.4823062287682,USD
default,337628540,ETH-USD,SELL,2022-08-17T10:28:55.702Z,0.00500000,ETH,1878.12,0.0563436,9.3342564,USD
default,337628541,ETH-USD,SELL,2022-08-17T10:28:55.702Z,0.06500000,ETH,1878.11,0.7324629,121.3446871,USD
default,354272215,BTC-USD,BUY,2022-06-13T12:00:38.040Z,0.00419249,BTC,23709.9,0.596421111906,-99.999939762906,USD
default,357195281,BTC-USD,BUY,2022-06-15T12:37:47.641Z,0.00225241,BTC,21120.28,0.2854291792488,-47.8569590540488,USD
default,357195282,BTC-USD,BUY,2022-06-15T12:37:47.641Z,0.00610750,BTC,21120.29,0.77395302705,-129.76612420205,USD
default,357195283,BTC-USD,BUY,2022-06-15T12:37:47.641Z,0.00105317,BTC,21120.32,0.1334597244864,-22.3767471388864,USD
#pre 2022
default,241864,XRP-BTC,SELL,2019-06-12T16:50:18.600Z,150.00000000,XRP,0.00004921,0.00001845375,0.00736304625,BTC
default,549978,XLM-BTC,SELL,2019-10-14T18:45:48.003Z,266.00000000,XLM,0.00000771,0.0000102543,0.0020406057,BTC
default,766759,XLM-BTC,SELL,2020-01-18T13:26:27.281Z,300.00000000,XLM,0.00000714,0.00001071,0.00213129,BTC
default,878471,XRP-BTC,SELL,2019-10-14T18:46:24.978Z,73.00000000,XRP,0.00003494,0.0000127531,0.0025378669,BTC
default,947510,XLM-USD,BUY,2019-06-12T16:55:53.219Z,321.00000000,XLM,0.127399,0.1022376975,-40.9973166975,USD
default,1208217,XLM-USD,BUY,2019-07-09T19:27:23.709Z,619.00000000,XLM,0.101447,0.1569892325,-62.9526822325,USD
default,1468235,XLM-USD,BUY,2019-08-09T19:24:39.116Z,359.00000000,XLM,0.072079,0.0646909025,-25.9410519025,USD
default,1737468,XLM-USD,SELL,2019-09-19T13:57:45.277Z,361.00000000,XLM,0.083100,0.07499775,29.92410225,USD
default,1784760,XLM-BTC,BUY,2020-11-12T14:16:20.976Z,198.00000000,XLM,0.00000501,0.0000049599,-0.0009969399,BTC
default,1809079,XLM-USD,BUY,2019-09-25T00:06:42.080Z,122.00000000,XLM,0.054398,0.01659139,-6.65314739,USD
default,1809080,XLM-USD,BUY,2019-09-25T00:06:42.080Z,318.00000000,XLM,0.054398,0.04324641,-17.34181041,USD
default,1945894,XRP-BTC,BUY,2020-06-11T16:12:44.560Z,109.00000000,XRP,0.00002044,0.0000111398,-0.0022390998,BTC
default,2011486,LTC-BTC,BUY,2017-12-14T00:26:11.897Z,0.15947526,LTC,0.018600,0.000008898719508,-0.002975138555508,BTC
default,2216439,XRP-USD,BUY,2019-07-09T19:27:01.231Z,121.00000000,XRP,0.3947,0.11939675,-47.87809675,USD
default,2559722,XRP-BTC,BUY,2020-10-26T13:46:05.113Z,118.00000000,XRP,0.00001925,0.0000113575,-0.0022828575,BTC
default,2562746,ETH-BTC,SELL,2017-12-14T00:25:49.566Z,0.07000000,ETH,0.04263,0.0000089523,0.0029751477,BTC
#
default,3381836,XLM-USD,BUY,2020-03-12T12:53:35.333Z,50.00000000,XLM,0.038799,0.00969975,-1.94964975,USD
default,3381837,XLM-USD,BUY,2020-03-12T12:53:35.333Z,309.00000000,XLM,0.038800,0.059946,-12.049146,USD
#
default,3585297,XRP-USD,BUY,2019-09-25T00:07:08.615Z,59.00000000,XRP,0.2352,0.034692,-13.911492,USD
default,3889008,XLM-USD,SELL,2020-04-23T11:00:50.018Z,384.00000000,XLM,0.058574,0.11246208,22.37995392,USD
default,4922751,XLM-USD,SELL,2020-07-09T09:59:26.326Z,236.00000000,XLM,0.092625,0.1092975,21.7502025,USD
default,6385111,XLM-USD,BUY,2020-09-06T02:05:55.094Z,334.00000000,XLM,0.074474,0.12437158,-24.99868758,USD
default,7827163,XLM-USD,SELL,2020-11-24T01:07:13.329Z,375.00000000,XLM,0.166222,0.31166625,62.02158375,USD
default,8051849,XLM-USD,SELL,2020-11-24T17:20:21.374Z,220.00000000,XLM,0.186585,0.2052435,40.8434565,USD
#
default,8108911,ETH-BTC,BUY,2019-08-09T19:23:53.674Z,0.02000000,ETH,0.01765,8.825e-7,-0.0003538825,BTC
default,8108912,ETH-BTC,BUY,2019-08-09T19:23:53.674Z,0.38521869,ETH,0.01765,0.0000169977746962,-0.0068161076531962,BTC
#
default,8435684,ETH-BTC,SELL,2019-10-14T19:31:26.411Z,0.17563600,ETH,0.02226,0.0000195482868,0.0038901090732,BTC
default,11215881,XRP-USD,SELL,2020-08-03T00:55:20.807Z,80.00000000,XRP,0.2980,0.1192,23.7208,USD
default,15097978,XRP-USD,SELL,2020-11-21T13:14:34.324Z,75.00000000,XRP,0.4082,0.153075,30.461925,USD
default,15622447,XRP-USD,SELL,2020-11-23T13:23:45.622Z,100.00000000,XRP,0.5012,0.2506,49.8694,USD
default,16165551,XRP-USD,SELL,2020-11-24T14:04:17.819Z,65.00000000,XRP,0.6750,0.219375,43.655625,USD
default,20680834,ETH-USD,BUY,2017-12-12T22:46:58.277Z,0.15901259,ETH,627.00,0.29910268179,-99.99999661179,USD
default,25463507,ETH-USD,BUY,2018-01-11T17:24:17.988Z,0.04096174,ETH,1217.00,0.14955131274,-49.99998889274,USD
