"txid","ordertxid","pair","time","type","ordertype","price","cost","fee","vol","margin","misc","ledgers"
#2022
"TURFJY-TWCL7-5QDITZ","O6MUCG-NXDPJ-IMQ5BP","XXMRXXBT","2022-01-24 12:45:35.8543","buy","market",0.00409369,0.00219831,0.00000571,0.53700000,0.00000000,"initiated","LEGYQH-W2EMN-YLH2FF,LRP4L3-4ZFP6-A5BY5Y"
"TYRVV3-CAZAZ-2KUKAD","OKCW3G-PAJUV-LQY5M7","XXMRZUSD","2022-04-09 11:30:32.4878","sell","limit",241.29767918,289.55721501,0.75284876,1.20000000,0.00000000,"initiated","LVQ7NN-4RKI2-7UXLNS,L5RPLN-72GGN-RNPT6J"
"TRXKT2-LTR3M-IUYZGH","OBOHS7-PZUK7-VG2FK4","XXMRXXBT","2022-04-18 18:29:53.407","sell","limit",0.00629900,0.00944850,0.00002457,1.50000000,0.00000000,"initiated","LMJCDD-ZUXWH-7ORYIW,LGBBGP-XT2S6-5TQINC"
"TSRQBT-4LKHQ-I4S4YH","OMLCM4-MYF3Z-T6HSNC","XXMRZUSD","2022-05-13 11:37:11.5365","buy","market",149.74000000,284.50600000,0.73971560,1.90000000,0.00000000,"initiated","LBE4GH-SSSO6-PVD5OZ,LCZVVF-BLJTR-RZNAMO"
"T5HX7N-XYZYD-UUUXCM","OEUWJQ-6BINH-ZNV5O3","XXMRXXBT","2022-08-28 23:55:35.9491","sell","market",0.00747500,0.01121250,0.00002916,1.50000000,0.00000000,"initiated","LE3LHM-ROWPL-TKOLVH,LPORIL-M2G45-7XVICQ"
#pre 2022
"TQZD6Y-W5P7T-7EI6TU","OPSUDN-PNZ6R-CHKDKJ","XXMRXXBT","2021-01-03 02:54:03.6215","buy","market",0.00438000,0.00328500,0.00000854,0.75000000,0.00000000,"","L6QCDL-7RDPL-KUKDAP,LCW7K2-5SMEY-HSXFMM"
"TBJX3Z-E4JP7-YZ3HM6","O3PSIQ-WDGAV-3GJ7ID","XXMRXXBT","2021-01-03 13:59:39.2017","buy","market",0.00409500,0.00409500,0.00001065,1.00000000,0.00000000,"","LCC6P6-76OJI-TZMYWV,LOHRD5-CREVE-6RFHHK"
"T4LZMQ-KAUG3-WGFD5Y","OEOGT4-E564D-RTSIJD","XXMRXXBT","2021-01-04 13:07:33.3304","buy","market",0.00440600,0.00264360,0.00000687,0.60000000,0.00000000,"","L4KWMI-PY2KE-OVAZRW,LVIGLL-PT2LE-NPVUQY"
"TGMAPM-Y57S4-I6UKLM","OZJGE3-SER46-G4PVII","XXMRXXBT","2021-01-30 18:06:45.3043","buy","market",0.00406400,0.00345186,0.00000897,0.84937500,0.00000000,"","LNTGAN-N4FBY-YJTMJG,LX4BFB-PUES7-W7J6BY"
"T2XCUT-UG46W-3ZWK53","OORAKZ-WRQIX-NLOC2Z","XXMRXXBT","2021-05-19 10:42:10.9776","buy","market",0.00725407,0.00544055,0.00001414,0.75000000,0.00000000,"","LNKOIF-IQ3TJ-6VE735,L2L4BN-J7UZA-LLDBHR"
"TYKGQR-4YBPJ-OONBDS","OZU6WG-T2J7S-GKMIBJ","XXMRXXBT","2021-06-03 11:07:31.868","buy","market",0.00786900,0.00236070,0.00000614,0.30000000,0.00000000,"","LLOWOV-V47MR-HGGAUG,LAVAOP-SDVEM-VWIJHQ"
"TN2WKG-Y6TA3-IBCJAA","O3DNHR-TGXB5-PV4CEE","XXMRXXBT","2021-06-15 19:30:17.6944","sell","market",0.00696100,0.00696100,0.00001810,1.00000000,0.00000000,"","LKYZDX-UD2VC-UX7GZ3,LPIHJK-V5WQG-JTH4HH"
"TRHEQM-MQYN6-XL2JLF","OULEQX-IZWN2-THEUBQ","XXMRXXBT","2021-06-18 13:59:50.8922","sell","market",0.00740214,0.00740214,0.00001924,1.00000000,0.00000000,"","LLDDOY-K5DYZ-2OU7R7,LSH3TG-G3Y5X-JY4CKF"
"T6X53U-UPPGT-4WOI2D","OOLJG6-GTQ3B-LZIQH7","XXMRXXBT","2021-10-05 21:36:33.5805","buy","market",0.00523200,0.00313920,0.00000816,0.60000000,0.00000000,"","L3NF62-UH6HN-D4QJRJ,LTIWER-HY7KR-ZUYOWH"
"T7CYE4-DJOWL-FNZQOJ","OJGMER-A3NSE-GC3VVC","XXMRXXBT","2021-10-16 21:05:31.6892","buy","market",0.00439900,0.00329925,0.00000858,0.75000000,0.00000000,"","LRFT37-SOFWP-IFDUVQ,L5H54N-U2QLH-NQMU7D"
"TKL6OB-A64BW-R6DIDB","OT7LG6-RVRAQ-TIDNQD","XXMRXXBT","2021-10-19 22:53:28.6711","buy","market",0.00398804,0.00398804,0.00001036,1.00000000,0.00000000,"","LVDE5B-DPUDA-R2K3PY,L5OSD2-J55B5-RO6UYM"
"T7A44L-6N53V-OMH3AN","OIPN47-4KXT6-CC2PIL","XXMRZUSD","2021-10-25 11:09:23.9411","sell","market",288.76000000,144.38000000,0.37538800,0.50000000,0.00000000,"","L6VG6U-ZS42I-SZCN32,LZQ7PG-KBBZY-S2Z6DP"
"TDZ7EX-KC644-WYRLAZ","OBXLLJ-LQFLR-B6TP75","XXMRXXBT","2021-11-03 00:37:47.8368","buy","market",0.00433100,0.00108275,0.00000282,0.25000000,0.00000000,"","LEPWB5-GPQGG-3SVLNM,LTNMWT-226UV-FLVCVU"
"TRRUAU-SGYNZ-BJ2I2K","O36VJO-TA7UA-KGBNTV","XXMRZUSD","2021-12-04 23:54:49.2863","buy","market",204.83213756,143.38249629,0.37279448,0.70000000,0.00000000,"","LPWYIK-2Q5OJ-Y4DYE4,LAHKKW-LHLY4-UA55IU"
